gamma,p,d_static,alpha_static,F_raw,F_static,Y_static,R_static,d_adaptive,alpha_adaptive,F_adaptive,Y_adaptive,R_adaptive,delta_F,delta_Y,delta_T
0.06999999999999999,0.11,1,0.47894737124443054,0.8586023796787257,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.12,1,0.47894737124443054,0.8489587289177327,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.13,1,0.47894737124443054,0.8393150781567398,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.14,1,0.47894737124443054,0.8296714273957467,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.15000000000000002,1,0.47894737124443054,0.8200277766347539,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.16,1,0.47894737124443054,0.810384125873761,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.17,1,0.47894737124443054,0.800740475112768,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.18000000000000002,1,0.47894737124443054,0.7910968243517749,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.19,1,0.47894737124443054,0.7814531735907821,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.2,1,0.47894737124443054,0.771809522829789,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.01,1,0.6052631735801697,0.949991489284647,0.0,0.0,0.0,1,0.6052631735801697,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.02,3,0.5210526585578918,0.9403998262380215,0.0,0.0,0.0,1,0.5631579160690308,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.03,2,0.5210526585578918,0.930808163191396,0.0,0.0,0.0,1,0.6052631735801697,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.04,1,0.5631579160690308,0.9212165001447705,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.05,1,0.5210526585578918,0.911624837098145,0.0,0.0,0.0,2,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.060000000000000005,1,0.47894737124443054,0.9020331740515197,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.06999999999999999,1,0.47894737124443054,0.8924415110048944,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.08,1,0.47894737124443054,0.8828498479582689,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.09,1,0.47894737124443054,0.8732581849116434,0.0,0.0,0.0,1,0.5631579160690308,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.09999999999999999,1,0.47894737124443054,0.8636665218650179,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.11,1,0.47894737124443054,0.8540748588183924,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.12,1,0.47894737124443054,0.8444831957717671,0.7869112142409562,0.5,100.0,1,0.47894737124443054,0.0,0.0,-10000.0,-0.7869112142409562,-0.5,-10100.0
0.08,0.13,1,0.47894737124443054,0.8348915327251416,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.14,1,0.47894737124443054,0.8252998696785162,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.15000000000000002,1,0.47894737124443054,0.8157082066318908,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.16,1,0.47894737124443054,0.8061165435852653,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.17,1,0.47894737124443054,0.79652488053864,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.18000000000000002,1,0.47894737124443054,0.7869332174920143,0.7032085587212764,0.5,100.0,1,0.47894737124443054,0.0,0.0,-10000.0,-0.7032085587212764,-0.5,-10100.0
0.08,0.19,1,0.47894737124443054,0.777341554445389,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.08,0.2,1,0.47894737124443054,0.7677498913987635,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.09,0.01,1,0.6052631735801697,0.9449302086943039,0.0,0.0,0.0,1,0.6052631735801697,0.0,0.0,-10000.0,0.0,0.0,-10000.0
